category,brewery,beer_name,style,abv,price_euro,product_url
Barley Wines & Malty Aged Brews,ÅBEN,Big Bang Barley Wine 2022,Barley Wine,,8.46,
Barley Wines & Malty Aged Brews,ÅBEN,Big Bang Barley Wine 2023,Barley Wine,,8.46,
Barley Wines & Malty Aged Brews,ÅBEN,Big Bang Barley Wine 2024,Barley Wine,,8.46,
Barley Wines & Malty Aged Brews,Zichovec,Cabernet Moravia 2020,WINE,"10,5 % obj.",11.15,https://pivovarzichovec.cz/en/product/cabernet-moravia-2020/
Barley Wines & Malty Aged Brews,Zichovec,Coconut Tiramisu Barley+Wheat Wine 2024 31,Barrel Aged,12 % obj.,10.39,https://pivovarzichovec.cz/en/product/coconut-tiramisu-barley-wheat-wine-2024/
Barley Wines & Malty Aged Brews,Zichovec,Distilled By Ice: Saison,,18 %,15,https://pivovarzichovec.cz/en/product/distilled-by-ice-saison/
Barley Wines & Malty Aged Brews,ÅBEN,Fluff,Weissbier,5.20%,6.06,https://webshop.aabenbryg.dk/products/fluff-weissbier
Barley Wines & Malty Aged Brews,To Øl,Glögglich,Dark Ale,13.4% VOL.,9,https://toolbeer.dk/products/glogglich-1?variant=32953345605735
Barley Wines & Malty Aged Brews,Zichovec,Grains & Grapes 2022,BARLEY WINE,"8,7 % obj.",15,https://pivovarzichovec.cz/en/product/grains-grapes-2022/
Barley Wines & Malty Aged Brews,Zichovec,Masala Chai Barley Wine 2024 31,Barrel Aged,11 % obj.,8.26,https://pivovarzichovec.cz/en/product/masala-chai-barley-wine-2024/
Sour Reds & Fruited Experiments,To Øl,Berry Barrage,Sour,5.2% VOL.,7,https://toolbeer.dk/products/berry-barrage
Sour Reds & Fruited Experiments,Zichovec,Distilled By Fire: Saison,,43 %,46.15,https://pivovarzichovec.cz/en/product/distilled-by-ice-saison-kopirovat/
Sour Reds & Fruited Experiments,Zichovec,Hugstorm 17,Sour,"7,0 % obj.",4,https://pivovarzichovec.cz/en/product/pink-seduction-12-copy/
Sour Reds & Fruited Experiments,To Øl,Porter Under The Bridge,Dark Ale,8.5% VOL.,6.57,https://toolbeer.dk/products/porter-under-the-bridge?variant=42184135508221
Sour Reds & Fruited Experiments,ÅBEN,Stolen Red Berries,Sour,4.50%,7.94,https://webshop.aabenbryg.dk/products/stolen-red-berries-1
Sour Reds & Fruited Experiments,ÅBEN,Stolen Red Berries / 33 cl.,Sour,4.50%,24.88,https://webshop.aabenbryg.dk/products/stolen-red-berries-33-cl
Pilsners & Light Beers,To Øl,45 Days Organic Pilsner,Pilsner,4.7% VOL.,3,https://toolbeer.dk/products/45-days-organic-pilsner?variant=47617275167055
Pilsners & Light Beers,ÅBEN,Birch,Pilsner,4.80%,6.06,https://webshop.aabenbryg.dk/products/birch-german-pilsner
Pilsners & Light Beers,ÅBEN,Birch 0.33 CL,Pilsner,4.80%,4.71,https://webshop.aabenbryg.dk/products/birch-0-33-cl
Pilsners & Light Beers,Zichovec,The Future Is Now HBC 1134 12,Pilsner,"5,1 % obj.",3.04,https://pivovarzichovec.cz/en/product/the-future-is-now-hbc-1134-12/
Pilsners & Light Beers,Zichovec,Šest 11,IPA,"4,6 % obj.",3.38,https://pivovarzichovec.cz/en/product/sest-11/
Imperial Stouts & Barrel-Aged Delights,To Øl,Birramisu,Stout,10% VOL.,11.94,https://toolbeer.dk/products/birramisu?variant=40369901863112
Imperial Stouts & Barrel-Aged Delights,To Øl,Liquid Confidence BA,Barrel Aged,15.1% VOL.,10,https://toolbeer.dk/products/liquid-confidence-ba?variant=37540302323912
Imperial Stouts & Barrel-Aged Delights,To Øl,Mash Test Yummies Bourbon BA 2022,Barrel Aged,13.6% VOL.,11.4,https://toolbeer.dk/products/mash-test-yummies-bourbon-ba-2022?variant=42575544844541
Imperial Stouts & Barrel-Aged Delights,To Øl,Mexican Hot Chocolat,Stout,8.5% VOL.,10.19,https://toolbeer.dk/products/mexican-hot-chocolat?variant=38105495732424
Imperial Stouts & Barrel-Aged Delights,To Øl,Mexican Hot Chocolat BA,Barrel Aged,11% VOL.,16.08,https://toolbeer.dk/products/mexican-hot-chocolat-ba?_pos=1&_sid=f8ad6edd4&_ss=r&variant=43055778136317
Imperial Stouts & Barrel-Aged Delights,ÅBEN,Occulation BA Rum,Stout,10.50%,11.43,https://webshop.aabenbryg.dk/products/copy-of-occulation-barrel-aged-rum
Imperial Stouts & Barrel-Aged Delights,To Øl,Sounds Good BA 2022,Barrel Aged,15.4% VOL.,16.08,https://toolbeer.dk/products/sounds-good-ba-2022?variant=43128921293053
Imperial Stouts & Barrel-Aged Delights,To Øl,Yule M#@!*?k Rhum & Cacao Edition BA,Stout,17.1% VOL.,9,https://toolbeer.dk/products/yule-m-k-rhum-cacao-edition-ba?variant=32953327943783
Imperial Stouts & Barrel-Aged Delights,To Øl,Yule Malt - BA 2024,Stout,-,10,https://toolbeer.dk/products/yule-malt-ba-2024
Classic Lagers & Dry Hopped Pilsners,Zichovec,13 Years Of Tradition 12,Lager,"5,1 % obj.",2.69,https://pivovarzichovec.cz/en/product/hugstorm-17-copy-copy-2/
Classic Lagers & Dry Hopped Pilsners,To Øl,30 Days - Italian Pilsner,Pilsner,5% VOL.,6,https://toolbeer.dk/products/30-days-italian-pilsner
Classic Lagers & Dry Hopped Pilsners,ÅBEN,Circle,IPA,4.70%,6.45,https://webshop.aabenbryg.dk/products/circle
Classic Lagers & Dry Hopped Pilsners,Zichovec,Devítka 9,Lager,"3,6 % obj.",2.54,https://pivovarzichovec.cz/en/product/devitka-9/
Classic Lagers & Dry Hopped Pilsners,Zichovec,Drink And Be Real,Low / No ABV,< 0.5 % obj.,2.46,https://pivovarzichovec.cz/en/product/drink-and-be-real/
Classic Lagers & Dry Hopped Pilsners,Zichovec,Euphoria Rakau 12,Lager,"5,1 % obj.",3.31,https://pivovarzichovec.cz/en/product/euphoria-rakau-12/
Classic Lagers & Dry Hopped Pilsners,Zichovec,Herbarium 12,,,3.54,https://pivovarzichovec.cz/en/product/herbarium-12/
Classic Lagers & Dry Hopped Pilsners,To Øl,Implosion Lager,Lager,0.5% VOL.,4,https://toolbeer.dk/products/implosion-lager
Classic Lagers & Dry Hopped Pilsners,Zichovec,Krahulík 11,Lager,"4,6 % obj.",3.12,https://pivovarzichovec.cz/en/product/krahulik-11/
Classic Lagers & Dry Hopped Pilsners,Zichovec,Krahulík 12,Lager,5.1 % vol.,2.27,https://pivovarzichovec.cz/en/product/krahulik-12/
Classic Lagers & Dry Hopped Pilsners,ÅBEN,Larch,Lager,4.90%,6.06,https://webshop.aabenbryg.dk/products/larch-vienna-lager
Classic Lagers & Dry Hopped Pilsners,Zichovec,Letní Vábení 11,,,3,https://pivovarzichovec.cz/en/product/psenice-12-copy/
Classic Lagers & Dry Hopped Pilsners,To Øl,N.E.L.L,Lager,4.4% VOL.,7,https://toolbeer.dk/products/nell?_pos=1&_psq=N.E.L&_ss=e&_v=1.0&variant=55401394536783
Classic Lagers & Dry Hopped Pilsners,Zichovec,Planeta Žatec 5461 15,"NEIPA WITH ""5461"" CZ EXPERIMENTAL HOP","6,5 % obj.",3.69,https://pivovarzichovec.cz/en/product/planeta-zatec-5461-15/
Classic Lagers & Dry Hopped Pilsners,Zichovec,SLÁMA Z BOT 10,,,3.04,https://pivovarzichovec.cz/en/product/slama-z-bot-10/
Low-ABV & Alcohol-Free Beers,Zichovec,Drink And Run,Low / No ABV,< 0.5 % obj.,2.92,https://pivovarzichovec.cz/en/product/drink-and-run/
Low-ABV & Alcohol-Free Beers,Zichovec,Drink And Sail,Low / No ABV,< 0.5 % obj.,3,https://pivovarzichovec.cz/en/product/drink-and-sail/
Low-ABV & Alcohol-Free Beers,Zichovec,Drink And Swim,Low / No ABV,< 0.5 % obj.,3.31,https://pivovarzichovec.cz/en/product/drink-and-swim/
Low-ABV & Alcohol-Free Beers,Zichovec,Hop Water: Citra + Sabro,,0 % obj.,1.08,https://pivovarzichovec.cz/en/product/hop-water-citra-sabro/
Low-ABV & Alcohol-Free Beers,To Øl,Implosion Fruited,Low / No ABV,0.3% VOL.,5,https://toolbeer.dk/products/implosion-fruited
Low-ABV & Alcohol-Free Beers,ÅBEN,Y,IPA,,18.29,
Barrel-Aged Spiced Barleywines,To Øl,45 Days Vienna Lager,Lager,4.7% VOL.,5.36,https://toolbeer.dk/products/45-days-vienna-lager?variant=43212401508605
Barrel-Aged Spiced Barleywines,To Øl,Birramisu BA 2022,Barrel Aged,11.7% VOL.,14,https://toolbeer.dk/products/birramisu-ba-2022?variant=43642823934205
Barrel-Aged Spiced Barleywines,Zichovec,Choco Orange Jelly Wheat Wine 2024 31,Barrel Aged,11 % obj.,10.39,https://pivovarzichovec.cz/en/product/choco-orange-jelly-wheat-wine-2024/
Barrel-Aged Spiced Barleywines,To Øl,Chugwork Orange,Creamsicle w/ Orange & Vanilla,3.4% VOL.,5.36,https://toolbeer.dk/products/chugwork-orange?variant=43563061936381
Barrel-Aged Spiced Barleywines,To Øl,My Honningkage,Stout,15.3% VOL.,11,https://toolbeer.dk/products/my-honningkage?variant=32953339773031
Barrel-Aged Spiced Barleywines,To Øl,My Æbleskive Is Bigger Than Yours,Barleywine BA,17.2% VOL.,2,https://toolbeer.dk/products/my-aebleskive-is-bigger-than-yours?variant=43599737159933
Barrel-Aged Spiced Barleywines,Zichovec,White 12,,5.2% vol.,2.69,https://pivovarzichovec.cz/en/product/white-12-2/
Double & Juicy IPAs,To Øl,#DIPA,Double IPA,8.7% VOL.,5,https://toolbeer.dk/products/dipa?_pos=1&_sid=e60da7163&_ss=r&variant=43551918063869&variant=43551918063869
Double & Juicy IPAs,To Øl,#IPA,IPA,5.9% VOL.,8,https://toolbeer.dk/products/ipa
Double & Juicy IPAs,To Øl,45 DAYS IPL,IPA,5.5% VOL.,5.36,https://toolbeer.dk/products/45-days-ipl?variant=43562934534397
Double & Juicy IPAs,Zichovec,70 Minute Tribute 14,CONTINUALLY HOPPED IPA,"6,5 % obj.",3.46,https://pivovarzichovec.cz/en/product/70-minute-tribute-14/
Double & Juicy IPAs,ÅBEN,Afterschool Club,IPA,,29.51,
Double & Juicy IPAs,To Øl,Double Theory,Double IPA,7.5% VOL.,9,https://toolbeer.dk/products/double-theory?variant=54278661275983
Double & Juicy IPAs,Zichovec,Drink and Drive 6,Low / No ABV,< 0.5 % obj.,3,https://pivovarzichovec.cz/en/product/mala-dohoda-17-kopirovat/
Double & Juicy IPAs,Zichovec,Glowflow 12,,"5,1 % obj.",3.46,https://pivovarzichovec.cz/en/product/glowflow-12/
Double & Juicy IPAs,To Øl,Humlesovs,IPA,6% VOL.,4,https://toolbeer.dk/products/humlesovs?variant=47617992556879
Double & Juicy IPAs,To Øl,Implosion,IPA,0.3% VOL.,2,https://toolbeer.dk/products/implosion?variant=43551921209597
Double & Juicy IPAs,Zichovec,Little Banger 8,,,3.31,https://pivovarzichovec.cz/en/product/little-banger-8/
Double & Juicy IPAs,To Øl,Lost All Reason 1.3,Double IPA,8% VOL.,7,https://toolbeer.dk/products/lost-all-reason
Double & Juicy IPAs,To Øl,Orbital Movement,Hazy IPA,6% VOL.,6.71,https://toolbeer.dk/products/orbital-movement?_pos=1&_sid=81d4162f6&_ss=r&variant=43563071963389&variant=43563072028925
Double & Juicy IPAs,To Øl,Quaffzilla,Hazy Session IPA,4.7% VOL.,6.57,https://toolbeer.dk/products/quaffzilla?variant=47617623032143
Double & Juicy IPAs,To Øl,To Øl x Brujos - Tres Hekse Triple IPA,IPA,10% VOL.,13,https://toolbeer.dk/products/to-ol-x-brujos-tres-hekse-triple-ipa
Double & Juicy IPAs,To Øl,To Øl x Whiplash - Miracle Double IPA,IPA,8.3% VOL.,12,https://toolbeer.dk/products/to-ol-x-whiplash-miracle-double-ipa
Classic IPAs & Pale Hybrids,Zichovec,Beyond Erebus 14,IPA,6 % obj.,3.77,https://pivovarzichovec.cz/en/product/sour-passion-fruit-guava-12-copy/
Classic IPAs & Pale Hybrids,To Øl,Brokilde Winter,Belgian Tripel,8.5% VOL.,4.29,https://toolbeer.dk/products/brokilde-winter-330ml?variant=40970523410632
Classic IPAs & Pale Hybrids,To Øl,Europhoria 2.0,IPA,5.6% VOL.,5,https://toolbeer.dk/products/europhoria-2-0
Classic IPAs & Pale Hybrids,To Øl,Forward Thinking x Yakima Chief Hops,Double IPA,8.1% VOL.,7,https://toolbeer.dk/products/forward-thinking-x-yakima-chief-hops
Classic IPAs & Pale Hybrids,Zichovec,Hotline 15,IPA,7 % obj.,4.69,https://pivovarzichovec.cz/en/product/hotline-15/
Classic IPAs & Pale Hybrids,Zichovec,Lavender Gose 12,Sour,"5,1 % obj.",4,https://pivovarzichovec.cz/en/product/lavender-gose-12-copy/
Classic IPAs & Pale Hybrids,To Øl,Organic Hazy IPA,IPA,6.5% VOL.,6,https://toolbeer.dk/products/organic-hazy-ipa?_pos=1&_psq=Organic+Hazy+IPA&_ss=e&_v=1.0&variant=54360993431887
Classic IPAs & Pale Hybrids,To Øl,Patio Patio (Terrassebajer),Sour,-,7,https://toolbeer.dk/products/patio-patio-terrassebajer
Classic IPAs & Pale Hybrids,Zichovec,Pšenice 12,,,2.69,https://pivovarzichovec.cz/en/product/psenice-12-2/
Classic IPAs & Pale Hybrids,Zichovec,Robin 12,APA,,2.69,https://pivovarzichovec.cz/en/product/robin-12/
Classic IPAs & Pale Hybrids,ÅBEN,Specular,IPA,10.00%,9.15,https://webshop.aabenbryg.dk/products/specular?_pos=1&_sid=cbf23f0d2&_ss=r
Classic IPAs & Pale Hybrids,To Øl,To Øl x Birrificio Italiano - Nebulosa,Lager,5.3% VOL.,14,https://toolbeer.dk/products/to-ol-x-birrificio-italiano-nebulosa
Classic IPAs & Pale Hybrids,To Øl,Trouble Juice,IPA,4.7% VOL.,6,https://toolbeer.dk/products/trouble-juice?variant=47605585903951
Classic IPAs & Pale Hybrids,Zichovec,Upside down 12,IPA,"5,1 % obj.",3.23,https://pivovarzichovec.cz/en/product/upside-down-12/
Classic IPAs & Pale Hybrids,Zichovec,Veni Vidi Riwaka 10,IPA,"4,1 % obj.",3.38,https://pivovarzichovec.cz/en/product/veni-vidi-riwaka-10/
Classic IPAs & Pale Hybrids,To Øl,Wheat In Motion,Belgian,4.2% VOL.,5,https://toolbeer.dk/products/wheat-in-motion
Dark Ales & Robust Stouts,To Øl,45 Days of Darkness,Dark Ale,10% VOL.,5.23,https://toolbeer.dk/products/45-days-of-darkness?variant=47617706623311
Dark Ales & Robust Stouts,ÅBEN,A Bit Chilly,Dark Ale,9.00%,31.66,https://webshop.aabenbryg.dk/products/a-bit-chilly
Dark Ales & Robust Stouts,To Øl,Black Malts & Body Salts 2.0,Stout,9.9% VOL.,6.57,https://toolbeer.dk/products/black-malts-body-salts-2-0?variant=37883621638344
Dark Ales & Robust Stouts,ÅBEN,Dim Lights,Brown Ale,5.30%,24.14,https://webshop.aabenbryg.dk/products/dim-lights
Dark Ales & Robust Stouts,To Øl,Goliat BA,Stout,13.7% VOL.,8,https://toolbeer.dk/products/goliat-ba?variant=37540242522312
Dark Ales & Robust Stouts,To Øl,Hot Krush IPA,IPA,6% VOL.,4,https://toolbeer.dk/products/hot-krush-ipa
Dark Ales & Robust Stouts,ÅBEN,Short,Stout,5.20%,6.72,https://webshop.aabenbryg.dk/products/short
Dark Ales & Robust Stouts,Zichovec,The Irish Black 11,Stout,"4,6 % obj.",2.62,https://pivovarzichovec.cz/en/product/the-irish-black-11-2/
New England IPAs & Fruity IPAs,Zichovec,13 Years Of Happiness 17,IPA,"7,0 % obj.",4.15,https://pivovarzichovec.cz/en/product/hugstorm-17-copy-copy/
New England IPAs & Fruity IPAs,ÅBEN,Bryg 61,IPA,5.50%,6.72,https://webshop.aabenbryg.dk/products/bryg-61-new-england-ipa
New England IPAs & Fruity IPAs,ÅBEN,Diffuse Light,Double IPA,8.00%,8.46,https://webshop.aabenbryg.dk/products/diffuse-light?_pos=1&_sid=f03b26933&_ss=r
New England IPAs & Fruity IPAs,Zichovec,Juicy Lucy 15,IPA,"6,5 % obj.",3.77,https://pivovarzichovec.cz/en/product/juicy-lucy-15/
New England IPAs & Fruity IPAs,Zichovec,Mosaic Ale 12,APA,,2.69,https://pivovarzichovec.cz/en/product/mosaic-ale-12/
New England IPAs & Fruity IPAs,Zichovec,Nectar of Happiness 17,IPA,7 % obj.,3.85,https://pivovarzichovec.cz/en/product/nectar-of-happiness-17/
New England IPAs & Fruity IPAs,To Øl,New School Nostalgic × Verdant,Double IPA,8% VOL.,7,https://toolbeer.dk/products/new-school-nostalgic-verdant
New England IPAs & Fruity IPAs,To Øl,Snuble Juice,IPA,4.5% VOL.,3,https://toolbeer.dk/products/snublejuice?variant=43551924158717
New England IPAs & Fruity IPAs,To Øl,Tropical Rumble,IPA,4.3% VOL.,3,https://toolbeer.dk/products/tropical-rumble?variant=47615942918479
New England IPAs & Fruity IPAs,To Øl,Whirl Domination,IPA,6.2% VOL.,4.02,https://toolbeer.dk/products/whirl-domination?variant=47616192446799
Fruity Sours & Goses,Zichovec,13 Years Of Innovation 18,Sour,"6,5 % obj.",4.46,https://pivovarzichovec.cz/en/product/hugstorm-17-copy/
Fruity Sours & Goses,ÅBEN,Citrea,Sour,4.50%,29.51,https://webshop.aabenbryg.dk/products/https-webshop-aabenbryg-dk-products-citrea
Fruity Sours & Goses,Zichovec,Like A Mojito 12,Sour,"5,1 % obj.",4,https://pivovarzichovec.cz/en/product/like-a-mojito-12/
Fruity Sours & Goses,ÅBEN,Mumbo Jumbo #1,Sour,6%,9.15,https://webshop.aabenbryg.dk/products/passion-fruit-guava-raspberry-mumbo-jumbo-fruited
Fruity Sours & Goses,ÅBEN,Mumbo Jumbo #6,Sour,,34.39,
Fruity Sours & Goses,Zichovec,Salzgeist 11,Sour,"4,6 % obj.",3.15,https://pivovarzichovec.cz/en/product/salzgeist-11/
Fruity Sours & Goses,Zichovec,Sour Aronia Cherry 12,Sour,"5,1 % obj.",4.08,https://pivovarzichovec.cz/en/product/sour-passion-fruit-12-pink-edition-kopirovat-2/
Fruity Sours & Goses,Zichovec,Sour Calamansi 12,Sour,"5,1 % obj.",4.15,https://pivovarzichovec.cz/en/product/sour-calamansi-12-kopirovat/
Fruity Sours & Goses,Zichovec,Sour Mango Passion Fruit 12,Sour,"5,1% obj.",4,https://pivovarzichovec.cz/en/product/sour-mango-passion-fruit-12-2/
Fruity Sours & Goses,Zichovec,Sour Passion fruit + guava 12,Sour,"5,1 % obj.",5.73,https://pivovarzichovec.cz/en/product/sour-passion-fruit-guava-12/
Fruity Sours & Goses,Zichovec,Sour Passion fruit 12,Sour,"5,1 % obj.",5.5,https://pivovarzichovec.cz/en/product/sour-passion-fruit-12/
Fruity Sours & Goses,Zichovec,Sour Raspberry 12,Sour,"5,1 % obj.",4,https://pivovarzichovec.cz/en/product/sour-raspberry-12-2/
Fruity Sours & Goses,Zichovec,Winter Affair Gossip Meta Edabeak 11,,"4,6 % obj.",2.95,https://pivovarzichovec.cz/en/product/winter-affair-gossip-meta-edabeak/